['21:37:01.965395', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.6870696544647217)], -1]
['21:37:02.681361', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.6715278029441833)], -1]
['21:37:03.011675', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.9196451306343079)], -1]
['21:37:03.361488', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.7931148409843445)], -1]
['21:37:03.667164', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.8339741230010986)], -1]
['21:37:03.966199', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.8106878995895386)], -1]
['21:37:04.274379', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.7107251882553101)], -1]
['21:37:04.612195', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Open', [('person', 0.5118647813796997)], -1]
['21:37:04.913845', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.7573518753051758)], -1]
['21:37:05.220334', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.7746946811676025)], -1]
['21:37:05.523546', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.8732122182846069)], -1]
['21:37:05.891873', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.8674664497375488)], -1]
['21:37:06.207091', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.8871265649795532)], -1]
['21:37:06.557054', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.7917467951774597)], -1]
['21:37:07.023695', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.6992283463478088)], -1]
['21:37:07.435341', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.8322669267654419)], -1]
['21:37:07.756792', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.7589825987815857)], -1]
['21:37:08.067513', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.7373930811882019)], -1]
['21:37:08.397302', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.8555751442909241)], -1]
['21:37:08.753090', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.7809113264083862)], -1]
['21:37:09.110590', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.8529249429702759)], -1]
['21:37:09.475256', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.8805222511291504)], -1]
['21:37:09.934824', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.6868873834609985)], -1]
['21:37:10.265861', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.7011365294456482)], -1]
['21:37:10.626229', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [], -1]
['21:37:11.044896', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.5679589509963989)], -1]
['21:37:11.353230', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.5413690209388733)], -1]
['21:37:11.725224', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.595343291759491)], -1]
['21:37:12.044538', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.6827502846717834)], -1]
['21:37:12.372750', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.6083351969718933)], -1]
['21:37:12.744364', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.5456234812736511)], -1]
['21:37:13.061028', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.8682596683502197)], -1]
['21:37:13.369753', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.8329586386680603)], -1]
['21:37:13.655779', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.7558889985084534)], -1]
['21:37:14.004296', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.7872094511985779)], -1]
['21:37:14.285137', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.7348140478134155)], 'Head Down']
['21:37:14.707336', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.6384944319725037)], -1]
['21:37:15.008790', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.8083350658416748)], -1]
['21:37:15.402040', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.8799446821212769)], -1]
['21:37:15.685275', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.8989900946617126)], -1]
['21:37:16.006761', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.7775189280509949)], -1]
['21:37:16.293236', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.8950738906860352)], -1]
['21:37:16.736342', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.8924052715301514)], -1]
['21:37:17.076476', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.8903400897979736)], -1]
['21:37:17.398810', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.8896210789680481)], -1]
['21:37:17.694095', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.8988913297653198)], -1]
['21:37:18.030637', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.9207363128662109)], -1]
['21:37:18.303333', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.9391962885856628)], 'Head Up']
['21:37:18.734647', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.8530546426773071)], -1]
['21:37:19.006893', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.6190433502197266)], -1]
['21:37:19.369315', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.7256611585617065)], -1]
['21:37:19.658333', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.7395115494728088)], -1]
['21:37:19.985067', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.7076312899589539)], -1]
['21:37:20.276865', 'Face detecting properly.', 'Blink count: 1', 'center', 'Mouth Close', [('person', 0.8016493916511536)], -1]
['21:37:20.654332', 'Face detecting properly.', 'Blink count: 1', 'left', 'Mouth Close', [('person', 0.6738070845603943)], -1]
